id|answer_index|anwer|alternate_answer|answer_value|answer_value_type|answer_description|answer_image|image_source|image_source_url|answer_dimensions|quiz_id|active
13|3|Indonesia||273523615|273523615|Indonesia|[0,0]|||[126, -3]|2|1
14|4|Pakistan||220892340|220892340|Pakistan|[0,0]|||[69.3451, 30.3753]|2|1
15|5|Brazil||212559417|212559417|Brazil|[-10,0]|||[-40, -10]|2|1
16|6|Nigeria||206139589|206139589|Nigeria|[0,0]|||[3.3792, 6.5244]|2|1
17|7|India||164689383|164689383|India|[-15,0]|||[90,21]|2|1
18|8|Russia||145934462|145934462|Russia|[0,0]|||[105.3188,61.524]|2|1
19|9|Mexico||128932753|128932753|Mexico|[0,0]|||[-102.5526, 23.6345]|2|1
20|10|Japan||126476461|126476461|Japan|[0,0]|||[139.6503, 35.6762]|2|1
21|1|Andre Agassi||8|8|Andre Agassi is credited with reviving tennis in the 1990s and was the first male player to win all four Grand Slam tournaments on three different surfaces. He won an Olympic gold medal in 1996 and is an eight-time time Grand Slam singles champion (1986-2006).|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/4865997a-3fda-4a0d-b83f-517280554c00/public|Business Insider|https://www.businessinsider.com/where-are-they-now-the-biggest-tennis-stars-1990s-2019-8?r=US&IR=T#jim-courier-won-four-grand-slam-singles-titles-he-was-the-youngest-man-to-reach-the-finals-of-all-four-grand-slam-singles-tournaments-at-the-age-of-22-years-and-11-months-1|cover|7|1
22|2|Pete Sampras||14|14|Pete Sampras held the record for Wimbledon men's singles titles with seven until Roger Federer won his eighth title in 2017. Sampras also has 14 Grand Slam titles and is regarded as of the greatest players in history.|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/9409d978-92de-4f57-485e-8636b465ae00/public|Business Insider|https://www.businessinsider.com/where-are-they-now-the-biggest-tennis-stars-1990s-2019-8?r=US&IR=T#jim-courier-won-four-grand-slam-singles-titles-he-was-the-youngest-man-to-reach-the-finals-of-all-four-grand-slam-singles-tournaments-at-the-age-of-22-years-and-11-months-1|cover|7|1
23|3|Steffi Graf||22|22|Steffi Graf won 22 Grand Slam singles titles, which ties her for third all-time. She is also one of two players to win three Grand Slam titles in one year five times.|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/2f6ce651-246b-4518-a948-1c0acd886700/public|Business Insider|https://www.businessinsider.com/where-are-they-now-the-biggest-tennis-stars-1990s-2019-8?r=US&IR=T#jim-courier-won-four-grand-slam-singles-titles-he-was-the-youngest-man-to-reach-the-finals-of-all-four-grand-slam-singles-tournaments-at-the-age-of-22-years-and-11-months-1|cover|7|1
24|4|Monica Seles||8|8|Monica Seles became the youngest ever to win the French Open at 16 in 1990. She won eight Grand Slam singles titles as a teenager representing Yugoslavia and another while representing the US. In 1993 she was stabbed in an on-court attack and took over two years away from tennis.|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/7be9c582-3aea-44c5-0d5a-345cef7d5e00/public|Business Insider|https://www.businessinsider.com/where-are-they-now-the-biggest-tennis-stars-1990s-2019-8?r=US&IR=T#jim-courier-won-four-grand-slam-singles-titles-he-was-the-youngest-man-to-reach-the-finals-of-all-four-grand-slam-singles-tournaments-at-the-age-of-22-years-and-11-months-1|cover|7|1
25|5|Martina Hingis||5|5|Martina Hingis became the youngest-ever Grand Slam champion in 1996. She won 25 major titles throughout her career across singles, women's doubles, and mixed doubles matches. She retired in November 2007.|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/a83922a8-d896-44fd-d293-b18118d48a00/public|Business Insider|https://www.businessinsider.com/where-are-they-now-the-biggest-tennis-stars-1990s-2019-8?r=US&IR=T#jim-courier-won-four-grand-slam-singles-titles-he-was-the-youngest-man-to-reach-the-finals-of-all-four-grand-slam-singles-tournaments-at-the-age-of-22-years-and-11-months-1|cover|7|1
26|6|Jim Courier||4|4|Jim Courier won four Grand Slam singles titles. He was the youngest man to reach the finals of all four Grand Slam singles tournaments, at the age of 22 years and 11 months.|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/3dbdc4d0-0091-4d26-892c-09ec03845200/public|Business Insider|https://www.businessinsider.com/where-are-they-now-the-biggest-tennis-stars-1990s-2019-8?r=US&IR=T#jim-courier-won-four-grand-slam-singles-titles-he-was-the-youngest-man-to-reach-the-finals-of-all-four-grand-slam-singles-tournaments-at-the-age-of-22-years-and-11-months-1|cover|7|1
27|7|Stefan Edberg||6|6|Stefan Edberg won six Grand Slam singles titles and three Grand Slam men's doubles titles. Hailing from Sweden, he is regarded as one of the best to play the game from the country.|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/38b73af6-edcd-45e9-e089-cc7c9d087e00/public|Business Insider|https://www.businessinsider.com/where-are-they-now-the-biggest-tennis-stars-1990s-2019-8?r=US&IR=T#jim-courier-won-four-grand-slam-singles-titles-he-was-the-youngest-man-to-reach-the-finals-of-all-four-grand-slam-singles-tournaments-at-the-age-of-22-years-and-11-months-1|cover|7|1
28|8|Boris Becker||6|6|Boris Becker became the first unseeded player and first German to win the Wimbledon singles title in 1985. He won six major singles titles and an Olympic gold medal for men's doubles.|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/333d453d-d8d0-43d0-3ef6-581e70d6bd00/public|Business Insider|https://www.businessinsider.com/where-are-they-now-the-biggest-tennis-stars-1990s-2019-8?r=US&IR=T#jim-courier-won-four-grand-slam-singles-titles-he-was-the-youngest-man-to-reach-the-finals-of-all-four-grand-slam-singles-tournaments-at-the-age-of-22-years-and-11-months-1|cover|7|1
29|9|Patrick Rafter|Pat Rafter|2|2|Patrick Rafter was the first man in the Open Era to win the Canada Masters, Cincinnati Masters and the US Open in the same year. He is the only player with at least three meetings that remains undefeated against Roger Federer. Rafter won the US Open in 1997 and 1998.|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/9f9f853e-5f80-4502-b341-0f1477c5d400/public|Business Insider|https://www.businessinsider.com/where-are-they-now-the-biggest-tennis-stars-1990s-2019-8?r=US&IR=T#jim-courier-won-four-grand-slam-singles-titles-he-was-the-youngest-man-to-reach-the-finals-of-all-four-grand-slam-singles-tournaments-at-the-age-of-22-years-and-11-months-1|cover|7|1
30|10|Mary Pierce||2|2|Mary Pierce turned pro at 14 years old. She won four Grand Slam titles in her career – two in singles, one in women's doubles, and one in mixed doubles. Pierce won the French Open in 2000. She is the last French player, male or female, to do so.|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/d7e0d0dc-fcff-457e-8c1e-3422c8900300/public|Business Insider|https://www.businessinsider.com/where-are-they-now-the-biggest-tennis-stars-1990s-2019-8?r=US&IR=T#jim-courier-won-four-grand-slam-singles-titles-he-was-the-youngest-man-to-reach-the-finals-of-all-four-grand-slam-singles-tournaments-at-the-age-of-22-years-and-11-months-1|cover|7|1
31|11|Michael Chang||1|1|Michael Chang won the French Open Grand Slam singles title at 17 years old. He won 34 singles titles in his career. Chang was known for his speed since he was shorter than most opponents. He retired in 2003.|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/6da70efc-fa39-4071-c5c4-ab6b3ccbd300/public|Business Insider|https://www.businessinsider.com/where-are-they-now-the-biggest-tennis-stars-1990s-2019-8?r=US&IR=T#jim-courier-won-four-grand-slam-singles-titles-he-was-the-youngest-man-to-reach-the-finals-of-all-four-grand-slam-singles-tournaments-at-the-age-of-22-years-and-11-months-1|cover|7|1
32|12|Goran Ivanisevic||1|1|Goran Ivanisevic became the only person to win the men's singles title at Wimbledon as a wildcard in 2001. It was his only Grand Slam title. He won 22 singles titles in his career.|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/d45a194d-c215-47a8-72ba-f95b4331f000/public|Business Insider|https://www.businessinsider.com/where-are-they-now-the-biggest-tennis-stars-1990s-2019-8?r=US&IR=T#jim-courier-won-four-grand-slam-singles-titles-he-was-the-youngest-man-to-reach-the-finals-of-all-four-grand-slam-singles-tournaments-at-the-age-of-22-years-and-11-months-1|cover|7|1
33|13|Jennifer Capriati||3|3|Jennifer Capriati made her professional debut at 13 years old, reaching the finals in two of her first three pro events. She won a gold medal and the 1992 Games and three Grand Slam singles titles in her career.|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/463b241d-1df5-4099-03d0-fbfe450d0b00/public|Business Insider|https://www.businessinsider.com/where-are-they-now-the-biggest-tennis-stars-1990s-2019-8?r=US&IR=T#jim-courier-won-four-grand-slam-singles-titles-he-was-the-youngest-man-to-reach-the-finals-of-all-four-grand-slam-singles-tournaments-at-the-age-of-22-years-and-11-months-1|cover|7|1
34|14|Arantxa Sanchez Vicario||4|4|Spanish tennis star Arantxa Sánchez Vicario won 14 Grand Slam titles, including three singles titles at the French Open and one at the US Open. She is the only tennis player to play in five Olympics, winning two silver and two bronze medals.|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/3bec90e3-9b20-4a1f-68c0-1771a3b4e400/public|Business Insider|https://www.businessinsider.com/where-are-they-now-the-biggest-tennis-stars-1990s-2019-8?r=US&IR=T#jim-courier-won-four-grand-slam-singles-titles-he-was-the-youngest-man-to-reach-the-finals-of-all-four-grand-slam-singles-tournaments-at-the-age-of-22-years-and-11-months-1|cover|7|1
35|15|Yevgeny Kafelnikov||2|2|Yevgeny Kafelnikov is the last man to win both the men's singles and doubles titles at the same Grand Slam tournament. He completed the feat at the 1996 French Open. He won six Grand Slam titles in his career, as well as a gold medal at the 2000 Olympics. He played his last match in 2003 and officially retired in 2010.|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/17599e72-01d7-4218-341b-75e0c56c4b00/public|Business Insider|https://www.businessinsider.com/where-are-they-now-the-biggest-tennis-stars-1990s-2019-8?r=US&IR=T#jim-courier-won-four-grand-slam-singles-titles-he-was-the-youngest-man-to-reach-the-finals-of-all-four-grand-slam-singles-tournaments-at-the-age-of-22-years-and-11-months-1|cover|7|1
36|1|Czechia||14.26|14.26|Czechia|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/6e060e7f-c079-48d2-a08b-4f40be582400/public|World Population Review|https://worldpopulationreview.com/country-rankings/alcohol-consumption-by-country|cover|8|1
37|2|Latvia||13.19|13.19|Latvia|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/2bebe094-c654-4d01-400e-30e79a613b00/public|World Population Review|https://worldpopulationreview.com/country-rankings/alcohol-consumption-by-country|cover|8|1
38|3|Moldova||12.85|12.85|Moldova|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/b1fc9e48-df5c-4829-83ea-3426909f3400/public|World Population Review|https://worldpopulationreview.com/country-rankings/alcohol-consumption-by-country|cover|8|1
39|4|Germany||12.79|12.79|Germany|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/7ea80408-9733-4042-f196-b66c6f285600/public|World Population Review|https://worldpopulationreview.com/country-rankings/alcohol-consumption-by-country|cover|8|1
40|5|Lithuania||12.78|12.78|Lithuania|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/7ed171b2-7e7e-45d3-b5a1-0c536e2a7100/public|World Population Review|https://worldpopulationreview.com/country-rankings/alcohol-consumption-by-country|cover|8|1
41|6|Ireland||12.75|12.75|Ireland|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/a11a3ef7-0e3a-4355-eb03-4544df7a6800/public|World Population Review|https://worldpopulationreview.com/country-rankings/alcohol-consumption-by-country|cover|8|1
42|7|Spain||12.67|12.67|Spain|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/66fb464d-01cb-4030-75f4-70a1a4d35d00/public|World Population Review|https://worldpopulationreview.com/country-rankings/alcohol-consumption-by-country|cover|8|1
43|8|Uganda||12.48|12.48|Uganda|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/5d9de365-f2ee-4915-6638-928fc607cb00/public|World Population Review|https://worldpopulationreview.com/country-rankings/alcohol-consumption-by-country|cover|8|1
44|9|Bulgaria||12.46|12.46|Bulgaria|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/48d74f89-af26-4858-1d5a-2d48ff5c4f00/public|World Population Review|https://worldpopulationreview.com/country-rankings/alcohol-consumption-by-country|cover|8|1
45|10|Luxembourg||12.45|12.45|Luxembourg|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/cc9dce97-0a85-4256-d7c6-f5dcb602b600/public|World Population Review|https://worldpopulationreview.com/country-rankings/alcohol-consumption-by-country|cover|8|1
46|1|Italy||40924|40924|Italy|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/4ef986af-d9f0-49aa-f4aa-548c75f9de00/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
47|2|Malta||40797|40797|Malta|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/fde3b6ac-03f3-45a1-e89e-36e49e83ba00/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
48|3|New Zealand||40748|40748|New Zealand|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/e256a0a3-0c36-4784-e653-1bb2767caa00/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
49|4|Aruba||39493|39493|Aruba|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/a4601a1a-408c-40be-2852-e39dd32b6800/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
50|5|Spain||39037|39037|Spain|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/54b94fdd-3306-49d3-82e8-6d03ca503700/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
51|6|Israel||38868|38868|Israel|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/077427c5-62e2-496b-0e4a-1e40ec5af300/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
52|7|South Korea||38824|38824|South Korea|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/69852eea-92e1-425e-2271-20bc95f7dd00/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
53|8|Czech Republic|Czechia|38020|38020|Czech Republic|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/460edd8d-ecfc-44d9-e606-2934559ac900/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
54|9|Slovenia||36387|36387|Slovenia|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/cb84aa48-f8cf-47d6-dbed-8bcc5df60700/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
55|10|Cyprus||36012|36012|Cyprus|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/a2cfed49-e92c-4f00-d93d-47120bab8200/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
56|11|Estonia||33448|33448|Estonia|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/5b7ed843-d5f5-442e-079b-f7b52e807e00/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
57|12|Lithuania||33253|33253|Lithuania|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/4e99c21b-4413-47d8-a0cb-11b6414c1900/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
58|13|Portugal||32554|32554|Portugal|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/03c3b320-24a0-43b0-0bb4-88d35837ba00/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
59|14|Slovakia||32371|32371|Slovakia|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/2e1e313e-d868-4281-3b27-f3d7c43d2900/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
60|15|Trinidad and Tobago||31645|31645|Trinidad and Tobago|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/9a97df9a-637c-4701-97f5-3a026641b700/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
61|16|Bahamas||30495|30495|Bahamas|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/6aa078f9-60cd-4db3-3b9b-e97b6b461300/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
62|17|Poland||29924|29924|Poland|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/c65ad9fd-9f89-493d-4821-3932353b5c00/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
63|18|Malaysia||29511|29511|Malaysia|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/10afc654-917d-4739-9b6b-c791fd3c8900/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
64|19|Seychelles||29328|29328|Seychelles|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/76b20bc3-1561-40ac-7fd0-5719d1ff3200/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
65|20|Hungary||28799|28799|Hungary|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/33c98ff1-6209-4b50-1c71-82885cf63000/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
66|21|Saint Kitts and Nevis||28636|28636|Saint Kitts and Nevis|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/9bf548dd-ed4c-4274-3b93-59d2a0bc8800/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
67|22|Greece||28583|28583|Greece|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/eb40f00c-2d5d-49e2-bc26-e1f72c4e9a00/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
68|23|Latvia||28362|28362|Latvia|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/8a7cded9-b668-4674-b1b0-5edaa7277f00/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
69|24|Turkey||28002|28002|Turkey|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/41da0f6c-c43c-4273-4d41-11fd30e4ef00/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
70|25|Romania||26660|26660|Romania|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/27d72dd7-a20a-43f0-32bb-3e2267231500/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
71|26|Kazakhstan||26491|26491|Kazakhstan|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/fef44be8-ec11-4da6-d9f4-a1b248d49000/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
72|27|Croatia||26296|26296|Croatia|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/e947b706-87f1-483f-6396-3885f2acd300/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
73|28|Russia||25763|25763|Russia|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/3c2ad76f-1cee-4ab4-86ef-40f430e2a400/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
74|29|Chile||24747|24747|Chile|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/04c8450b-f1d2-4a8b-471b-3375a5cd5f00/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
75|30|Panama||24521|24521|Panama|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/543f8354-6162-4f6f-6987-f95309480c00/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
76|31|Equatorial Guinea||24439|24439|Equatorial Guinea|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/e1ccb2fb-b96a-4711-f7a5-aec707fa0500/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
77|32|Antigua and Barbuda||23522|23522|Antigua and Barbuda|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/85ca0fbd-6625-4d3d-b513-a989b8f11d00/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
78|33|Uruguay||22610|22610|Uruguay|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/9a8bac43-0af1-49e6-7e7b-45c08cdcb100/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
79|34|Mauritius||22356|22356|Mauritius|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/ab47c592-7b8d-403a-d324-1c5a3881b800/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
80|35|Bulgaria||20948|20948|Bulgaria|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/bafab605-6b3a-4447-f53a-65e381b8ec00/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
81|36|Iran||20885|20885|Iran|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/00509032-3a7b-4e05-de53-5ac2f0a3fe00/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
82|37|Argentina||20829|20829|Argentina|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/52bf31dd-0bf4-4afd-bb31-c8724efb1900/public|Worldometers|https://www.worldometers.info/gdp/gdp-per-capita/|cover|9|1
83|1|London||9078000|9078000|London|[0,0]|||[-0.13, 51.51]|10|1
84|2|Birmingham||1153000|1153000|Birmingham|[0,0]|||[-1.8904, 52.4892]|10|1
85|3|Leeds||792000|792000|Leeds|[40,0]|||[-1.5492, 53.8008]|10|1
86|4|Sheffield||582000|582000|Sheffield|[0,10]|||[-1.4701, 53.3811]|10|1
87|5|Manchester||558000|558000|Manchester|[-35,-20]|||[-2.2426, 53.4808]|10|1
88|6|Bradford||532000|532000|Bradford|[0,-20]|||[-1.7564, 53.7938]|10|1
89|7|Liverpool||494000|494000|Liverpool|[-45,20]|||[-2.9916, 53.4084]|10|1
90|8|Bristol||470000|470000|Bristol|[-30,0]|||[-2.5879, 51.4545]|10|1
91|9|Newcastle||296000|296000|Newcastle|[-15,-15]|||[-1.6178, 54.9783]|10|1
92|10|Sunderland||275000|275000|Sunderland|[22,5]|||[-1.3838, 54.9069]|10|1
93|1|Alabama||5024279|5024279|Alabama|[0, 0]|||[-86, 32.31823]|11|1
94|2|Alaska||733391|733391|Alaska|[0, 0]|||[-112, 28]|11|1
95|3|Arizona||113990|113990|Arizona|[0, 0]|||[-111, 34]|11|1
96|4|Arkansas||53179|53179|Arkansas|[0, 0]|||[-92, 35.4]|11|1
97|5|California||39538223|39538223|California|[0, 0]|||[-121, 37]|11|1
98|6|Colorado||104094|104094|Colorado|[0, 0]|||[-105, 39]|11|1
99|7|Connecticut||3605944|3605944|Connecticut|[0, 0]|||[-70, 41]|11|1
100|8|Delaware||989948|989948|Delaware|[0, 0]|||[-72, 38.5]|11|1
101|9|Florida||21538187|21538187|Florida|[0, 0]|||[-80, 28]|11|1
102|10|Georgia||59425|59425|Georgia|[0, 0]|||[-82.7, 33]|11|1
103|11|Hawaii||10932|10932|Hawaii|[0, 0]|||[-99, 24]|11|1
104|12|Idaho||83569|83569|Idaho|[0, 0]|||[-114, 43.5]|11|1
105|13|Illinois||12812508|12812508|Illinois|[0, 0]|||[-88.6, 40]|11|1
106|14|Indiana||36420|36420|Indiana|[0, 0]|||[-85.2, 40.3]|11|1
107|15|Iowa||56273|56273|Iowa|[0, 0]|||[-92.5, 42]|11|1
108|16|Kansas||2937880|2937880|Kansas|[0, 0]|||[-98, 38.5]|11|1
109|17|Kentucky|Kentucky|4505836|4505836|Kentucky|[0, 0]|||[-85, 37.2]|11|1
110|18|Louisiana||4657757|4657757|Louisiana|[0, 0]|||[-90.5, 30.4]|11|1
111|19|Maine||1362359|1362359|Maine|[0, 0]|||[-67.5, 45.2]|11|1
